,MAIN_ID,Z_VALUE,RA,DEC,GALDIM_MAJAXIS,GALDIM_MINAXIS,SCRIPT_NUMBER_ID
3,NAME Sausage Cluster,0.1921,22 42 53.0,+53 01 05,9.0,9.0,0
4,ACO  2319,0.0559,19 20 45.3,+43 57 43,16.0,16.0,0
6,ACO  2256,0.0583,17 03 09.4,+78 39 36,12.0,12.0,0
11,ACO  2255,0.0801,17 12 50.04,+64 03 10.6,10.0,10.0,0
13,ACO   576,0.039,07 21 24.1,+55 44 20,21.0,21.0,0
17,ACO  2219,0.2257,16 40 22.1,+46 42 20,8.0,8.0,0
21,ACO  1674,0.22124,13 03 56.5,+67 31 04,6.6666665,6.6666665,0
29,ACO  1302,0.1152,11 33 12.02,+66 22 26.9,12.916667,12.916667,0
32,ClG 1603+4313,0.897,16 04 23.7,+43 04 52,2.5,2.5,0
52,ACO  1351,0.322,11 42 24.7795,+58 32 05.558,3.0,3.0,0
57,ACO   773,0.2173,09 17 51.3,+51 43 20,6.0,6.0,0
68,BAX 163.4480+54.8499,0.072,10 53 50.83,+54 49 55.1,7.5,7.5,0
73,MCXC J1332.7+5032,0.2761,13 32 44.8,+50 32 24,9.73,9.73,0
78,ACO   851,0.409,09 43 01.2,+46 59 54,7.0833335,7.0833335,0
85,ACO  1314,0.03282856,11 34 53.0,+49 05 18,16.666666,16.666666,0
92,ACO S  373,0.005,03 38 29.4,-35 27 08,11.666667,11.666667,0
94,ACO   496,0.033,04 33 38.8,-13 15 59,22.5,22.5,0
95,ACO   500,0.067,04 38 55.0,-22 05 55,16.666666,16.666666,0
97,ACO   520,0.203,04 54 10.1,+02 55 38,5.5,5.5,0
98,ClG 0451-03,0.54,04 54 10.9,-03 01 07,7.1666665,7.1666665,0
99,ACO   521,0.247,04 54 08.6,-10 14 39,5.0,5.0,0
100,ACO   545,0.154,05 32 24.4152,-11 32 35.080,5.6,5.6,0
102,ACO  3365,0.093,05 48 12,-21 56.1,5.5,5.5,0
104,ClG J0603.3+4214,0.228,06 03.3,+42 14,9.0,9.0,0
105,ACO  3376,0.046,06 01 25.000,-39 59 51.00,16.0,16.0,0
106,ClG J0717+3745,0.549,07 17 36.50,+37 45 23.0,4.0,4.0,0
108,ACO   586,0.1702,07 32 20.3,+31 37 58,16.333334,16.333334,0
110,ACO   611,0.28726,08 00 58.7,+36 02 49,7.0833335,7.0833335,0
111,ACO   602,0.060878935,07 53 23.51,+29 20 20.3,1.84,1.84,0
115,NAME NGC 2563 Group,0.015646925,08 20 39.46,+21 04 45.6,17.916666,17.916666,0
117,ACO   653,0.087,08 21 50.6,+01 11 49,15.0,15.0,0
122,ACO   697,0.2812,08 42 57.6,+36 21 45,2.5,2.5,0
127,ACT-CL J0852.2-0101,0.4587,08 52 16.6,-01 01 35,8.244,8.244,0
128,ACO S 1101,0.056,23 13 58.5,-42 43 39,19.166666,19.166666,0
130,ACO  3888,0.155,22 34 23.0,-37 43 29,15.333333,15.333333,0
134,ACO  4010,0.096,23 31 10.3,-36 30 26,14.666667,14.666667,0
136,ACO  4059,0.04908791,23 57 02.2,-34 45 58,14.583333,14.583333,0
138,ACO  4038,0.02999541,23 47 31.1,-28 12 10,20.0,20.0,0
139,ACO  2734,0.06142987,00 11 21.60,-28 51 16.6,20.0,20.0,0
140,ACO  2744,0.306,00 14 20.03,-30 23 17.8,7.0,7.0,0
142,ClG J2235-2557,1.39,22 35 20.6,-25 57 42,1.6666666,1.6666666,0
145,ACO  2384,0.094,21 52 20.9,-19 32 53,14.333333,14.333333,0
146,ACO   133,0.057,01 02 41.5,-21 52 53,21.0,21.0,0
149,ACO  2345,0.179,21 27 09.80,-12 09 58.8,15.666667,15.666667,0
152,ClG J2129-0741,0.587,21 29 26.0,-07 41 28,6.6666665,6.6666665,0
153,ACO  2399,0.058,21 57 19.01,-07 50 57.5,12.083333,12.083333,0
154,ACO  2428,0.084,22 16 07.01,-09 20 19.5,17.083334,17.083334,0
